"playerId","player","team","position","passAtt","passComp","passInc","passCompPct","passYds","passTds","passInt","rushAtt","rushYds","rushTds","fumbles","twoPts","regTds","pass300","pass350","pass400","returnTds","dataScrapeId","pass40","rush40","sacks","games","rec","recYds","recTds","returnYds","rush100","rush150","rush200","rec40","rec100","rec150","rec200"
1062,"Martellus Bennett","DAL","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,90,0,NA,NA,NA,NA,NA,NA,NA,NA
1072,"Jermichael Finley","GB","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,84,0,NA,NA,NA,NA,NA,NA,NA,NA
1074,"Dustin Keller","NYJ","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,25,282,2,NA,NA,NA,NA,NA,NA,NA,NA
1365,"Jacob Hester","SD","RB",NA,NA,NA,NA,NA,NA,NA,41,165,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,3,22,0,NA,NA,NA,NA,NA,NA,NA,NA
1581,"DeSean Jackson","PHI","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,31,415,2,NA,NA,NA,NA,NA,NA,NA,NA
1966,"John Carlson","SEA","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,25,255,1,NA,NA,NA,NA,NA,NA,NA,NA
1972,"Brad Cottam","KC","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,15,156,0,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Eddie Royal","DEN","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,33,462,2,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Ryan Torain","DEN","RB",NA,NA,NA,NA,NA,NA,NA,27,125,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,1,11,0,NA,NA,NA,NA,NA,NA,NA,NA
2643,"Jalen Parmele","BAL","RB",NA,NA,NA,NA,NA,NA,NA,29,111,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,4,25,0,NA,NA,NA,NA,NA,NA,NA,NA
4383,"Tim Hightower","ARI","RB",NA,NA,NA,NA,NA,NA,NA,61,245,2,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,10,65,0,NA,NA,NA,NA,NA,NA,NA,NA
