"playerId","player","team","position","passAtt","passComp","passInc","passCompPct","passYds","passTds","passInt","rushAtt","rushYds","rushTds","fumbles","twoPts","regTds","pass300","pass350","pass400","returnTds","dataScrapeId","pass40","rush40","sacks","games","rec","recYds","recTds","returnYds","rush100","rush150","rush200","rec40","rec100","rec150","rec200"
184,"Donnie Avery","KC","WR",NA,NA,NA,NA,NA,NA,NA,0,0.675,0,0.0333333333333333,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,40.9,553.24,2.86,NA,NA,NA,NA,NA,NA,NA,NA
206,"Andre Caldwell","DEN","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,10.75,179.033333333333,0.133333333333333,NA,NA,NA,NA,NA,NA,NA,NA
216,"Fred Davis","WAS","TE",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.0333333333333333,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,49.8333333333333,614.22,4.2,NA,NA,NA,NA,NA,NA,NA,NA
222,"Harry Douglas","ATL","WR",NA,NA,NA,NA,NA,NA,NA,0,1.325,0,0,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,33.5,411.18,1.1,NA,NA,NA,NA,NA,NA,NA,NA
230,"Jerome Felton","MIN","RB",NA,NA,NA,NA,NA,NA,NA,NA,19.5,0.3,0,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,5.7,41.5,0,NA,NA,NA,NA,NA,NA,NA,NA
234,"Matt Forte","CHI","RB",NA,NA,NA,NA,NA,NA,NA,250.65,1120.34,5.52,2.03333333333333,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,59.4666666666667,452.46,2.08,NA,NA,NA,NA,NA,NA,NA,NA
248,"Lavelle Hawkins","SD","WR",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,8.4,149.25,0,NA,NA,NA,NA,NA,NA,NA,NA
252,"Chad Henne","JAC","QB",201.1,115.975,NA,58.4,1354.4,7.875,7.275,13,47.3,0,1.2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,"Lex Hilliard","NYJ","RB",NA,NA,NA,NA,NA,NA,NA,NA,26,0,0,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,16.7,0,NA,NA,NA,NA,NA,NA,NA,NA
262,"Chris Johnson","TEN","RB",NA,NA,NA,NA,NA,NA,NA,262.15,1212.66,6.5,1.9,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,41.6,309.9,0.56,NA,NA,NA,NA,NA,NA,NA,NA
264,"Josh Johnson","CIN","QB",17,10.4,NA,NA,119.65,0.05,0.05,3,6.2,0,0.2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,"Darren McFadden","OAK","RB",NA,NA,NA,NA,NA,NA,NA,227,1058.26,6.58,1.66666666666667,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,39.3333333333333,309.3,1.1,NA,NA,NA,NA,NA,NA,NA,NA
310,"Matt Ryan","ATL","QB",609.6,399.15,NA,66.9,4737.48,31.92,12.96,33.65,100.22,0.76,3.86666666666667,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,"Jerome Simpson","MIN","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,0.3,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,19.65,317.025,1.35,NA,NA,NA,NA,NA,NA,NA,NA
324,"Jacob Tamme","DEN","TE",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,31.3333333333333,325.12,2.18,NA,NA,NA,NA,NA,NA,NA,NA
367,"Matt Flynn","GB","QB",312.9,187.55,NA,62.3,2252.78,13.48,10.28,15.5,46.28,0.34,2.43333333333333,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,"Joe Flacco","BAL","QB",534.45,329.35,NA,62.9,3940.2,21.66,12.74,30,61.14,0.88,4.86666666666667,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
733,"Earl Bennett","CHI","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0333333333333333,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,31.2,366.7,1.76,NA,NA,NA,NA,NA,NA,NA,NA
735,"Davone Bess","CLE","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,0.433333333333333,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,49.0333333333333,503.16,2.36,NA,NA,NA,NA,NA,NA,NA,NA
748,"Dennis Dixon","FA","QB",8.95,5.85,NA,64.9,29.0333333333333,0.233333333333333,0,3.7,16.8666666666667,0,0,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
768,"Steve Johnson","BUF","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,0.766666666666667,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,71.5666666666667,981.74,6.28,NA,NA,NA,NA,NA,NA,NA,NA
