"playerId","player","team","position","passAtt","passComp","passInc","passCompPct","passYds","passTds","passInt","rushAtt","rushYds","rushTds","fumbles","twoPts","regTds","pass300","pass350","pass400","returnTds","dataScrapeId","pass40","rush40","sacks","games","rec","recYds","recTds","returnYds","rush100","rush150","rush200","rec40","rec100","rec150","rec200"
184,"Donnie Avery","IND","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,0.3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,26,381.1,2.23333333333333,NA,NA,NA,NA,NA,NA,NA,NA
206,"Andre Caldwell","DEN","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,20,128,0,NA,NA,NA,NA,NA,NA,NA,NA
216,"Fred Davis","WAS","TE",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.15,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,66.5,806.675,5.325,NA,NA,NA,NA,NA,NA,NA,NA
220,"Early Doucet","ARI","WR",NA,NA,NA,NA,NA,NA,NA,1,1.33333333333333,0,0,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,27.5,293,2,NA,NA,NA,NA,NA,NA,NA,NA
222,"Harry Douglas","ATL","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,0.7,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,33.15,306,2,NA,NA,NA,NA,NA,NA,NA,NA
234,"Matt Forte","CHI","RB",NA,NA,NA,NA,NA,NA,NA,255.35,1164.325,4.825,0.65,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,60.65,511.825,1.675,NA,NA,NA,NA,NA,NA,NA,NA
252,"Chad Henne","JAC","QB",71,42.2333333333333,NA,60.2,350.325,2.25,1.5,4.15,16.175,0,0.35,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,"Chris Johnson","TEN","RB",NA,NA,NA,NA,NA,NA,NA,259.65,1282.425,8,1.85,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,47,394.425,1.425,NA,NA,NA,NA,NA,NA,NA,NA
284,"Darren McFadden","OAK","RB",NA,NA,NA,NA,NA,NA,NA,243.85,1161.925,9,1.15,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,41,319,1.5,NA,NA,NA,NA,NA,NA,NA,NA
310,"Matt Ryan","ATL","QB",555,344.233333333333,NA,62.4,4200.575,30.75,13.925,30.65,90.925,0.675,1.5,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,"Jerome Simpson","MIN","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,0.35,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,45,607.325,3.175,NA,NA,NA,NA,NA,NA,NA,NA
324,"Jacob Tamme","DEN","TE",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,56.85,682.425,5.25,NA,NA,NA,NA,NA,NA,NA,NA
367,"Matt Flynn","SEA","QB",103.766666666667,61.5666666666667,NA,61.3,1309.075,7.825,4.5,8.15,38.425,0.825,1.65,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,"Joe Flacco","BAL","QB",515.233333333333,312.766666666667,NA,61.5,3851.075,23.175,13.075,33.85,100.925,0.825,3,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
733,"Earl Bennett","CHI","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,0.3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,44.5,483.666666666667,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA
735,"Davone Bess","MIA","WR",NA,NA,NA,NA,NA,NA,NA,0,2.33333333333333,0,0.35,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,59.35,725.325,3.425,NA,NA,NA,NA,NA,NA,NA,NA
768,"Steve Johnson","BUF","WR",NA,NA,NA,NA,NA,NA,NA,0,17.3333333333333,0,0.5,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,80.35,1025.25,7,NA,NA,NA,NA,NA,NA,NA,NA
832,"Josh Morgan","WAS","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,15,329.5,1,NA,NA,NA,NA,NA,NA,NA,NA
925,"Jamaal Charles","KC","RB",NA,NA,NA,NA,NA,NA,NA,215,1166.575,5.175,1.5,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,39.35,361.575,1.425,NA,NA,NA,NA,NA,NA,NA,NA
927,"Justin Forsett","HOU","RB",NA,NA,NA,NA,NA,NA,NA,23.85,74.7666666666667,0.233333333333333,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,8.85,42.7666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA
929,"BenJarvus Green-Ellis","CIN","RB",NA,NA,NA,NA,NA,NA,NA,236.85,940,7.925,0.15,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,18.5,111.175,0,NA,NA,NA,NA,NA,NA,NA,NA
931,"Felix Jones","DAL","RB",NA,NA,NA,NA,NA,NA,NA,116.15,554.075,2.325,1.5,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,32.15,253.675,0.75,NA,NA,NA,NA,NA,NA,NA,NA
939,"Rashard Mendenhall","PIT","RB",NA,NA,NA,NA,NA,NA,NA,119.35,544.25,4.175,1.15,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,10.65,74,0.075,NA,NA,NA,NA,NA,NA,NA,NA
