"playerId","player","team","position","passAtt","passComp","passInc","passCompPct","passYds","passTds","passInt","rushAtt","rushYds","rushTds","fumbles","twoPts","regTds","pass300","pass350","pass400","returnTds","dataScrapeId","pass40","rush40","sacks","games","rec","recYds","recTds","returnYds","rush100","rush150","rush200","rec40","rec100","rec150","rec200"
198,"Brian Brohm","BUF","QB",224,132,NA,NA,1456,7,7,11,45,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,"Keenan Burton","FA","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,21,315,2,NA,NA,NA,NA,NA,NA,NA,NA
206,"Andre Caldwell","CIN","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,11,146,0,NA,NA,NA,NA,NA,NA,NA,NA
216,"Fred Davis","WAS","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,42,446,3,NA,NA,NA,NA,NA,NA,NA,NA
220,"Early Doucet","ARI","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,43,556,3,NA,NA,NA,NA,NA,NA,NA,NA
222,"Harry Douglas","ATL","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,35,445,2,NA,NA,NA,NA,NA,NA,NA,NA
234,"Matt Forte","CHI","RB",NA,NA,NA,NA,NA,NA,NA,186,876,6,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,57,362,2,NA,NA,NA,NA,NA,NA,NA,NA
246,"Mike Hart","IND","RB",NA,NA,NA,NA,NA,NA,NA,13,56,1,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,4,29,0,NA,NA,NA,NA,NA,NA,NA,NA
252,"Chad Henne","MIA","QB",527,311,NA,NA,3373,17,14,11,41,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,"Lex Hilliard","MIA","RB",NA,NA,NA,NA,NA,NA,NA,85,356,4,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,5,36,0,NA,NA,NA,NA,NA,NA,NA,NA
262,"Chris Johnson","TEN","RB",NA,NA,NA,NA,NA,NA,NA,294,1472,12,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,60,466,2,NA,NA,NA,NA,NA,NA,NA,NA
264,"Josh Johnson","TB","QB",50,31,NA,NA,345,2,2,16,35,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,"Darren McFadden","OAK","RB",NA,NA,NA,NA,NA,NA,NA,148,664,4,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,46,333,1,NA,NA,NA,NA,NA,NA,NA,NA
310,"Matt Ryan","ATL","QB",514,308,NA,NA,3544,22,15,25,82,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"Jacob Tamme","IND","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,6,59,0,NA,NA,NA,NA,NA,NA,NA,NA
367,"Matt Flynn","GB","QB",33,20,NA,NA,215,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
