"playerId","player","team","position","passAtt","passComp","passInc","passCompPct","passYds","passTds","passInt","rushAtt","rushYds","rushTds","fumbles","twoPts","regTds","pass300","pass350","pass400","returnTds","dataScrapeId","pass40","rush40","sacks","games","rec","recYds","recTds","returnYds","rush100","rush150","rush200","rec40","rec100","rec150","rec200"
206,"Andre Caldwell","CIN","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,11,146,0,NA,NA,NA,NA,NA,NA,NA,NA
216,"Fred Davis","WAS","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,23,245,2,NA,NA,NA,NA,NA,NA,NA,NA
220,"Early Doucet","ARI","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,15,195,1,NA,NA,NA,NA,NA,NA,NA,NA
222,"Harry Douglas","ATL","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,33,422,3,NA,NA,NA,NA,NA,NA,NA,NA
234,"Matt Forte","CHI","RB",NA,NA,NA,NA,NA,NA,NA,235,1105,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,58,486,3,NA,NA,NA,NA,NA,NA,NA,NA
248,"Lavelle Hawkins","TEN","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,10,141,0,NA,NA,NA,NA,NA,NA,NA,NA
252,"Chad Henne","MIA","QB",535,315,NA,NA,3422,18,17,11,41,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,"Lex Hilliard","MIA","RB",NA,NA,NA,NA,NA,NA,NA,20,82,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,2,15,0,NA,NA,NA,NA,NA,NA,NA,NA
262,"Chris Johnson","TEN","RB",NA,NA,NA,NA,NA,NA,NA,266,1332,11,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,42,329,1,NA,NA,NA,NA,NA,NA,NA,NA
264,"Josh Johnson","TB","QB",32,20,NA,NA,221,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,"Darren McFadden","OAK","RB",NA,NA,NA,NA,NA,NA,NA,225,1103,9,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,59,535,3,NA,NA,NA,NA,NA,NA,NA,NA
310,"Matt Ryan","ATL","QB",530,318,NA,NA,3765,25,14,19,62,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,"Jerome Simpson","CIN","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,42,569,4,NA,NA,NA,NA,NA,NA,NA,NA
324,"Jacob Tamme","IND","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,14,151,1,NA,NA,NA,NA,NA,NA,NA,NA
367,"Matt Flynn","GB","QB",33,20,NA,NA,215,1,1,1,3,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,"Joe Flacco","BAL","QB",517,316,NA,NA,3777,24,11,34,74,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
733,"Earl Bennett","CHI","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,55,659,4,NA,NA,NA,NA,NA,NA,NA,NA
735,"Davone Bess","MIA","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,66,768,4,NA,NA,NA,NA,NA,NA,NA,NA
768,"Steve Johnson","BUF","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,88,1168,8,NA,NA,NA,NA,NA,NA,NA,NA
925,"Jamaal Charles","KC","RB",NA,NA,NA,NA,NA,NA,NA,247,1356,7,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,52,476,2,NA,NA,NA,NA,NA,NA,NA,NA
927,"Justin Forsett","SEA","RB",NA,NA,NA,NA,NA,NA,NA,140,546,3,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,20,145,1,NA,NA,NA,NA,NA,NA,NA,NA
929,"BenJarvus Green-Ellis","NE","RB",NA,NA,NA,NA,NA,NA,NA,230,966,10,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,16,107,0,NA,NA,NA,NA,NA,NA,NA,NA
931,"Felix Jones","DAL","RB",NA,NA,NA,NA,NA,NA,NA,237,995,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,57,416,1,NA,NA,NA,NA,NA,NA,NA,NA
935,"Kregg Lumpkin","TB","RB",NA,NA,NA,NA,NA,NA,NA,16,77,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,11,0,NA,NA,NA,NA,NA,NA,NA,NA
939,"Rashard Mendenhall","PIT","RB",NA,NA,NA,NA,NA,NA,NA,294,1176,11,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,31,202,1,NA,NA,NA,NA,NA,NA,NA,NA
941,"Ray Rice","BAL","RB",NA,NA,NA,NA,NA,NA,NA,272,1304,7,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,72,643,2,NA,NA,NA,NA,NA,NA,NA,NA
945,"Steve Slaton","HOU","RB",NA,NA,NA,NA,NA,NA,NA,17,75,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,2,14,0,NA,NA,NA,NA,NA,NA,NA,NA
949,"Jonathan Stewart","CAR","RB",NA,NA,NA,NA,NA,NA,NA,126,565,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,15,107,0,NA,NA,NA,NA,NA,NA,NA,NA
1030,"Mario Manningham","NYG","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,51,777,6,NA,NA,NA,NA,NA,NA,NA,NA
1032,"Jordy Nelson","GB","WR",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,46,605,5,NA,NA,NA,NA,NA,NA,NA,NA
1062,"Martellus Bennett","DAL","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,24,265,2,NA,NA,NA,NA,NA,NA,NA,NA
1072,"Jermichael Finley","GB","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,68,865,7,NA,NA,NA,NA,NA,NA,NA,NA
1074,"Dustin Keller","NYJ","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,55,632,4,NA,NA,NA,NA,NA,NA,NA,NA
1365,"Jacob Hester","SD","RB",NA,NA,NA,NA,NA,NA,NA,12,49,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4,31,0,NA,NA,NA,NA,NA,NA,NA,NA
