"playerId","player","team","position","dataScrapeId","dstBlk","dstFumlRec","dstInt","dstPtsAllow","dstRetTd","dstSack","dstSafety","dstTd","fg","fg0019","fg2029","fg3039","fg4049","fg50","fgAtt","fgMiss","fumbles","games","idpAst","idpFumlForce","idpFumlRec","idpInt","idpPD","idpSack","idpSolo","idpTFL","idpTd","pass300","pass350","pass40","pass400","passAtt","passComp","passCompPct","passInc","passInt","passTds","passYds","rec","rec100","rec150","rec200","rec40","recTds","recYds","returnTds","returnYds","rush100","rush150","rush200","rush40","rushAtt","rushTds","rushYds","sacks","twoPts","xp"
252,"Chad Henne","KC","QB",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.02,0,0.01,12.46,7.92,NA,0,0.168333333333333,0.345,106.931666666667,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2.04,0.0133333333333333,3.77666666666667,0,0.17,NA
264,"Josh Johnson","WAS","QB",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,0,0,1.1,0.333333333333333,NA,0,0.0333333333333333,0.00666666666666667,3.3,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0.133333333333333,0.00666666666666667,0.4,0.25,0,NA
306,"Dominique Rodgers-Cromartie","FA","DB",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,0.1,0.005,0.005,0.015,0.075,0,0.35,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,"Matt Ryan","ATL","QB",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,1.2,12.9,0.5,578.733333333333,393.414285714286,NA,191,9.78222222222222,30.5033333333333,4597.17,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,44.6285714285714,1.42333333333333,124.3,38.75,1.25,NA
382,"Joe Flacco","DEN","QB",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.662,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1.1,6.8,0.5,530.84,327.916666666667,NA,185,12.55875,20.045,3545.085,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,21.1,0.85375,63.17,31.55,1.175,NA
744,"Calais Campbell","JAC","DL",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,18.795,1.885,1.0325,0.333333333333333,2.7725,10.055,47.5325,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302,"Aqib Talib","LAR","DB",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,8.1525,0.6575,0.27,1.425,6.08,0.225,30.785,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1581,"DeSean Jackson","PHI","WR",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.286,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.0728571428571,1.5,0.5,0.2,4,4.02108695652174,770.10125,0,0,NA,NA,NA,0,4.62,0.341413043478261,33.0014285714286,NA,0,NA
2354,"Wesley Woodyard","TEN","LB",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,33.345,0.5875,0.4725,0.3925,2.12,3.2825,56.45,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2649,"Danny Amendola","DET","WR",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.282,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8471428571429,1.1,0.4,0.1,1,2.48571428571429,583.255714285714,0,0,NA,NA,NA,0,0.38,0.00285714285714286,2.42142857142857,NA,0,NA
